                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.83482,                0.68559,                 1.0263,                0.91835,                0.80056,                0.87913,                0.73639,                0.73181,                0.53662,                0.92609,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     73,                0.82529,                0.68881,                 1.0379,                0.92103,                 0.7986,                0.88053,                0.73822,                0.72969,                0.53396,                0.92457,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     74,                 0.8119,                0.66849,                 1.0291,                0.91853,                0.80077,                0.88102,                0.74129,                0.72646,                0.53131,                0.92372,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     75,                0.85115,                0.71839,                 1.0298,                0.90957,                0.81132,                0.88817,                 0.7415,                0.72323,                0.52871,                0.92218,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     76,                0.84159,                0.70597,                 1.0442,                 0.9032,                0.81635,                0.88869,                0.74199,                0.71997,                0.52392,                0.92106,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     77,                0.85754,                0.68265,                 1.0371,                0.88774,                0.82414,                0.88907,                0.74198,                0.71802,                0.52222,                0.92016,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     78,                 0.8639,                0.68986,                 1.0202,                0.88819,                0.82367,                0.89055,                 0.7434,                0.71664,                0.52119,                 0.9192,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     79,                0.84413,                0.70127,                 1.0289,                 0.9054,                0.81125,                0.88968,                0.74143,                0.71581,                0.51885,                0.91899,             2.8286e-05,             2.8286e-05,             2.8286e-05
                     80,                0.82872,                0.69109,                 1.0217,                0.88933,                0.82106,                0.88869,                0.74253,                0.71521,                0.51856,                0.91847,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     81,                 0.8573,                0.69384,                 1.0367,                0.89569,                0.81676,                0.88904,                0.74206,                0.71587,                  0.519,                0.91811,              2.593e-05,              2.593e-05,              2.593e-05
                     82,                0.84011,                0.69517,                 1.0259,                0.89626,                0.81686,                0.88973,                0.74318,                0.71557,                0.51945,                0.91806,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     83,                0.84732,                0.69109,                 1.0307,                0.90052,                0.81764,                0.88836,                 0.7429,                0.71403,                0.51828,                0.91798,             2.3574e-05,             2.3574e-05,             2.3574e-05
                     84,                0.82521,                0.68107,                 1.0222,                 0.9171,                0.80969,                0.88748,                0.74369,                0.71228,                0.51681,                0.91762,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     85,                0.83059,                0.70149,                 1.0286,                0.91538,                0.81412,                 0.8877,                0.74251,                0.71096,                0.51815,                0.91766,             2.1218e-05,             2.1218e-05,             2.1218e-05
                     86,                0.83684,                0.68445,                 1.0288,                0.91378,                0.81332,                0.88841,                0.74432,                0.70859,                0.51722,                0.91688,              2.004e-05,              2.004e-05,              2.004e-05
                     87,                0.79721,                0.67671,                 1.0194,                0.91314,                0.81439,                0.88818,                0.74388,                0.70753,                0.51816,                0.91633,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     88,                0.84433,                0.69269,                 1.0433,                0.91402,                0.81457,                0.88901,                0.74537,                0.70685,                0.51824,                 0.9154,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     89,                0.82867,                0.67541,                 1.0095,                0.92182,                0.81226,                0.88883,                0.74474,                0.70623,                0.51751,                0.91496,             1.6505e-05,             1.6505e-05,             1.6505e-05
                     90,                0.87884,                0.70844,                 1.0317,                0.91824,                0.81528,                0.88887,                0.74425,                0.70503,                 0.5165,                0.91446,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     91,                0.89245,                0.77341,                 1.0391,                0.88993,                 0.8148,                0.88215,                0.74237,                0.70579,                0.52138,                0.91368,             1.4149e-05,             1.4149e-05,             1.4149e-05
                     92,                0.88567,                0.77865,                 0.9996,                0.89169,                0.81193,                0.88094,                 0.7382,                0.71178,                 0.5287,                0.91607,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     93,                0.85854,                 0.7517,                 1.0146,                0.87936,                0.81369,                0.87957,                0.73315,                 0.7198,                0.53607,                0.91906,             1.1793e-05,             1.1793e-05,             1.1793e-05
                     94,                0.84137,                0.71158,                  1.016,                0.91008,                 0.7949,                 0.8783,                0.73299,                0.72421,                0.54092,                0.92046,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     95,                 0.8483,                0.73637,                 1.0013,                0.90936,                0.79503,                0.87756,                0.73123,                0.73022,                0.54393,                 0.9222,             9.4367e-06,             9.4367e-06,             9.4367e-06
                     96,                 0.8162,                0.66907,                0.99997,                0.90659,                0.79544,                0.87685,                 0.7301,                0.73059,                0.54284,                0.92211,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     97,                0.80231,                0.65696,                0.99693,                0.90591,                0.79374,                0.87623,                0.72683,                0.73166,                0.54309,                0.92253,             7.0805e-06,             7.0805e-06,             7.0805e-06
                     98,                0.83862,                0.69778,                 1.0065,                0.90818,                0.79472,                 0.8751,                0.72533,                 0.7347,                0.54499,                0.92364,             5.9024e-06,             5.9024e-06,             5.9024e-06
                     99,                0.84251,                0.67339,                 1.0153,                0.91158,                0.79395,                0.87567,                0.72573,                 0.7362,                0.54476,                0.92422,             4.7243e-06,             4.7243e-06,             4.7243e-06
                    100,                0.83757,                  0.731,                 1.0165,                  0.906,                0.79632,                0.87479,                  0.724,                0.74078,                0.54858,                0.92569,             3.5462e-06,             3.5462e-06,             3.5462e-06
